Unnamed: 0,ID,Name,Sex,Age,NOC,Team,Sport,Event,Medal,Year,Season,Height,Weight,Games,City,region,notes
1083,1428779,BATSARASHKINA Vitalina,Female,24.0,ROC,Russia,Shooting,10m Air Pistol Mixed Team,Silver,2020,Summer,,,2020 Summer,Tokyo,Russia,
1084,1343512,BATTAI Sugar Katinka,Female,18.0,HUN,Hungary,Fencing,Women's Sabre Team,,2020,Summer,,,2020 Summer,Tokyo,Hungary,
1085,1553483,BATT-DOYLE Isobel,Female,25.0,AUS,Australia,Athletics,Women's 5000m,,2020,Summer,,,2020 Summer,Tokyo,Australia,
1086,1342552,BATTEN Haley,Female,22.0,USA,United States,Cycling Mountain Bike,Women's Cross-country,,2020,Summer,,,2020 Summer,Tokyo,USA,
1087,1312453,BATTISTON Michela,Female,23.0,ITA,Italy,Fencing,Women's Sabre Team,,2020,Summer,,,2020 Summer,Tokyo,Italy,
1088,1889059,BATTLE Anavia,Female,22.0,USA,United States,Athletics,Women's 200m,,2020,Summer,,,2020 Summer,Tokyo,USA,
1089,1313263,BATTOCLETTI Nadia,Female,21.0,ITA,Italy,Athletics,Women's 5000m,,2020,Summer,,,2020 Summer,Tokyo,Italy,
1090,1337839,BATUM Nicolas,Male,32.0,FRA,France,Basketball,Men Team,Silver,2020,Summer,,,2020 Summer,Tokyo,France,
1091,1312185,BATUROV Bobo-Usmon,Male,26.0,UZB,Uzbekistan,Boxing,Men's Welter (63-69kg),,2020,Summer,,,2020 Summer,Tokyo,Uzbekistan,
1092,1425892,BATYRGAZIEV Albert,Male,23.0,ROC,Russia,Boxing,Men's Feather (52-57kg),Gold,2020,Summer,,,2020 Summer,Tokyo,Russia,
1093,1428811,BATYRSHINA Zilia,Female,22.0,ROC,Russia,Shooting,Skeet Women,,2020,Summer,,,2020 Summer,Tokyo,Russia,
1094,1429305,BAU Martin,Male,26.0,SLO,Slovenia,Swimming,Men's 400m Freestyle,,2020,Summer,,,2020 Summer,Tokyo,Slovenia,
1095,1429305,BAU Martin,Male,26.0,SLO,Slovenia,Swimming,Men's 800m Freestyle,,2020,Summer,,,2020 Summer,Tokyo,Slovenia,
1096,1465469,BAUMANN Christian,Male,26.0,SUI,Switzerland,Artistic Gymnastics,Men's All-Around,,2020,Summer,,,2020 Summer,Tokyo,Switzerland,
1097,1465469,BAUMANN Christian,Male,26.0,SUI,Switzerland,Artistic Gymnastics,Men's Floor Exercise,,2020,Summer,,,2020 Summer,Tokyo,Switzerland,
1098,1465469,BAUMANN Christian,Male,26.0,SUI,Switzerland,Artistic Gymnastics,Men's Pommel Horse,,2020,Summer,,,2020 Summer,Tokyo,Switzerland,
1099,1465469,BAUMANN Christian,Male,26.0,SUI,Switzerland,Artistic Gymnastics,Men's Rings,,2020,Summer,,,2020 Summer,Tokyo,Switzerland,
