Medal,Event,ID,Sport,Name,Sex,NOC,Team,Height,Weight,Age,City,Year,Season,notes,Games,region
,,1536371,,BHULLAR Gaganjeet,Male,IND,India,184.0,0.0,,Paris,2024,Summer,,2024 Summer,India
,,1536372,,GIRMA Ermias,Male,ETH,Ethiopia,176.0,0.0,,Paris,2024,Summer,,2024 Summer,Ethiopia
,,1536460,,ROJAS Carlos,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1536467,,MARTINEZ WING Bruno,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
Bronze,Women's Team,1536479,Archery,VAZQUEZ Ana,Female,MEX,Mexico,0.0,0.0,24.0,Paris,2024,Summer,,2024 Summer,Mexico
,,1536494,,RIVERA Edgar,Male,MEX,Mexico,198.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1536495,,TAMAYO-GARZA Cecilia,Female,MEX,Mexico,167.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1536496,,ALEMU Habitam,Female,ETH,Ethiopia,170.0,0.0,,Paris,2024,Summer,,2024 Summer,Ethiopia
,,1536497,,MESELE Worknesh,Female,ETH,Ethiopia,172.0,0.0,,Paris,2024,Summer,,2024 Summer,Ethiopia
Silver,Women's 800m,1536498,Athletics,DUGUMA Tsige,Female,ETH,Ethiopia,164.0,0.0,23.0,Paris,2024,Summer,,2024 Summer,Ethiopia
,,1536522,,ASHOK Aditi,Female,IND,India,173.0,0.0,,Paris,2024,Summer,,2024 Summer,India
,,1536523,,DAGAR Diksha,Female,IND,India,175.0,0.0,,Paris,2024,Summer,,2024 Summer,India
,,1536568,,FAYISA Abdisa,Male,ETH,Ethiopia,173.0,0.0,,Paris,2024,Summer,,2024 Summer,Ethiopia
,,1536585,,GUERRERO Ilse,Female,MEX,Mexico,156.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1536599,,CHAMA Noel,Male,MEX,Mexico,176.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1536600,,ORTIZ Ricardo,Male,MEX,Mexico,168.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1536624,,SHAHSAVARI Neda,Female,IRI,Iran,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Iran
,,1536632,,FALLAH Mobina,Female,IRI,Iran,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Iran
,,1536648,,LOH Kean Yew,Male,SGP,Singapore,175.0,0.0,,Paris,2024,Summer,,2024 Summer,Singapore
,,1536649,,HEE Yong Kai Terry,Male,SGP,Singapore,171.0,0.0,,Paris,2024,Summer,,2024 Summer,Singapore
,,1536650,,TAN Wei Han Jessica,Female,SGP,Singapore,167.0,0.0,,Paris,2024,Summer,,2024 Summer,Singapore
,,1536651,,YEO Jia Min,Female,SGP,Singapore,163.0,0.0,,Paris,2024,Summer,,2024 Summer,Singapore
,,1536669,,LABIB Ali,Male,IRI,Iran,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Iran
,,1536683,,FASIHI Farzaneh,Female,IRI,Iran,161.0,0.0,,Paris,2024,Summer,,2024 Summer,Iran
